customer_id,last_purchase,frequency,monetary,recency,R,F,M,rfm_score,rfm_total,segment
00017a68-ac73-4da4-9278-7339b7639f06,2017-04-01,1,499.74,518,1,1,3,113,5,Hibernating
00157514-f388-466a-bf9f-34f298fbb2ff,2018-03-15,1,301.42,170,3,1,2,312,6,Potential Loyalists
0018d33b-1dad-4057-9171-8a9b1bd35222,2018-07-08,4,1529.56,55,5,4,5,545,14,Champions
0018fde4-2b7b-46e0-a018-b34d4ac4ef18,2018-03-06,3,179.81,179,3,3,2,332,8,Loyal Customers
001aebf0-4d4f-4344-907e-73f0581d5912,2018-01-03,3,695.75,241,2,3,4,234,9,Loyal Customers
0028b405-57df-43de-b908-f7eab8cde756,2018-08-16,2,249.2,16,5,2,2,522,9,Potential Loyalists
002d2909-0708-4c69-a3b6-b23c1b33e0d5,2017-06-30,1,92.66,428,1,1,1,111,3,Hibernating
002ffc2e-682d-42c8-923f-016e06e614a7,2018-08-13,3,245.67000000000002,19,5,3,2,532,10,Loyal Customers
003d6816-8a56-413f-b60e-6db43ec01a0d,2018-01-14,1,51.47,230,2,1,1,211,4,About to Sleep
00412f54-be5c-4632-abda-803333b0b3da,2018-04-19,1,55.81,135,3,1,1,311,5,Potential Loyalists
0044235d-dd3d-4461-af7c-0a236bde3c13,2018-07-03,3,190.42000000000002,60,5,3,2,532,10,Loyal Customers
004469cb-018c-4e70-aee9-39a9c8e210ea,2018-08-06,3,459.36,26,5,3,3,533,11,Loyal Customers
0049d6e8-f40e-4fc7-9e98-ac7bc05d547c,2017-07-14,2,1521.6,414,1,2,5,125,8,At Risk
00531f6f-0e42-4cfd-b479-75f6b633b682,2018-02-10,1,45.38,203,2,1,1,211,4,About to Sleep
005a3991-a22d-4af0-882e-d2c4de2b741f,2018-03-06,2,225.25,179,3,2,2,322,7,Potential Loyalists
0062ef92-e2f2-43c2-9b5d-f60a1c2ec342,2017-11-06,4,1095.18,299,1,4,5,145,10,At Risk
006c4ad1-a966-4ad0-97df-052b2167bf08,2017-03-31,1,32.38,519,1,1,1,111,3,Hibernating
0071addf-a82c-4e36-bdee-113d55e08210,2017-09-03,1,396.54,363,1,1,3,113,5,Hibernating
007c9528-58ae-4225-b42b-309f689447bd,2018-05-03,3,551.31,121,4,3,3,433,10,Loyal Customers
008e17d9-4f51-4a94-95bd-4f47333fb712,2017-05-18,2,689.53,471,1,2,4,124,7,At Risk
008f4cec-1bc7-47ac-959e-bc3c557d8716,2018-03-28,2,859.6700000000001,157,3,2,4,324,9,Potential Loyalists
009212e8-32cf-40bb-865d-182a94361490,2017-11-07,1,135.89,298,2,1,1,211,4,About to Sleep
00969fc6-dc68-42fd-abc9-07bdcdbf9446,2018-06-08,4,618.19,85,4,4,4,444,12,Champions
00a67de9-b55d-4395-a860-213f95d1f3a9,2018-07-29,2,525.4,34,5,2,3,523,10,Potential Loyalists
00a99f86-cd7f-4f6f-b2d0-c49fa33caf24,2018-08-29,1,198.34,3,5,1,2,512,8,Potential Loyalists
00ac7c5f-9eab-4edb-9a77-37a87419793e,2018-08-25,3,279.54,7,5,3,2,532,10,Loyal Customers
00b54f5d-721d-442e-9244-6bba688c22c3,2017-08-26,1,959.73,371,1,1,4,114,6,Hibernating
00b703fc-1132-4d50-8a79-3161662c824a,2018-02-20,2,552.47,193,3,2,3,323,8,Potential Loyalists
00c8efda-57e5-41e2-b964-c347db0737af,2018-02-09,2,338.76,204,2,2,3,223,7,Need Attention
00cc43d1-be3b-4782-92f5-4e7096e06b55,2017-03-17,1,106.31,533,1,1,1,111,3,Hibernating
00cfc382-66db-4e87-af0b-7f94048fb977,2018-05-15,3,468.40000000000003,109,4,3,3,433,10,Loyal Customers
00d840f9-2567-45ef-b9f2-e320ae0e1e21,2018-01-25,2,270.4,219,2,2,2,222,6,Need Attention
00dda92b-21b4-4fa9-95dd-4ccb06c5be3d,2017-12-21,1,52.16,254,2,1,1,211,4,About to Sleep
00e298ec-3324-4e56-9d66-f52926aaee33,2017-07-19,4,980.33,409,1,4,4,144,9,At Risk
00ec024d-0ca0-4297-915b-9468eec71642,2018-07-24,2,391.79999999999995,39,5,2,3,523,10,Potential Loyalists
00f68f07-3a00-4023-ba23-4febdf878efc,2018-06-17,3,246.32,76,4,3,2,432,9,Loyal Customers
00fa9ad4-efd5-415b-95ba-c4a75e7f22ab,2017-05-19,1,83.06,470,1,1,1,111,3,Hibernating
00fcdad4-8be0-4fc8-b7a4-1d04a71c8d9f,2017-10-06,3,442.03999999999996,330,1,3,3,133,7,At Risk
00fd10ba-8945-4d4d-bc46-15d47716ccd2,2018-05-30,3,439.89,94,4,3,3,433,10,Loyal Customers
010b108c-ca18-4cde-9e73-fa2510877152,2018-04-26,3,514.9100000000001,128,3,3,3,333,9,Loyal Customers
0110c5d6-d3d5-4655-a707-45a0b650718c,2018-04-11,7,1571.41,143,3,5,5,355,13,Loyal Customers
01145b11-4278-4339-be28-6660d62d4bfe,2017-09-26,2,205.69,340,1,2,2,122,5,At Risk
0128b98d-042e-4738-b74b-201889c999c7,2018-05-25,2,254.70000000000002,99,4,2,2,422,8,Potential Loyalists
012e523e-012a-41ad-b54f-97e7124713f2,2018-04-09,2,266.75,145,3,2,2,322,7,Potential Loyalists
013754f2-e902-45dc-a8d2-9e49c226177a,2017-12-14,3,155.76,261,2,3,2,232,7,Loyal Customers
0140edff-410f-48ad-8f18-d05c256c1264,2018-06-03,2,1054.5900000000001,90,4,2,5,425,11,Potential Loyalists
0146e35a-8f25-4917-a245-394c22071852,2018-07-23,1,135.75,40,5,1,1,511,7,Potential Loyalists
0152a08d-2342-4167-86fa-664c9fe7c9f3,2018-01-06,5,1148.95,238,2,5,5,255,12,Loyal Customers
015379a8-1f54-48cd-982d-e60366fc540e,2018-08-10,4,434.83000000000004,22,5,4,3,543,12,Champions
016356d9-915b-408c-91e7-c21c56e8b289,2017-06-06,1,72.34,452,1,1,1,111,3,Hibernating
016891a9-a8c9-4bb1-a46d-ef72144d1fdc,2018-01-17,1,331.87,227,2,1,3,213,6,About to Sleep
016a7426-cd4f-4779-9ddb-4be8317b0697,2018-08-28,12,2313.45,4,5,5,5,555,15,Champions
016bc1a9-d126-4bd9-b20a-b8fdab42095f,2018-08-09,5,1617.88,23,5,5,5,555,15,Champions
017046ed-8729-4423-96cc-e66cb1aa8773,2017-06-19,1,249.86,439,1,1,2,112,4,Hibernating
0174e8ac-d660-42d4-be2c-35fd273314eb,2018-07-02,2,359.54,61,5,2,3,523,10,Potential Loyalists
0177c9e4-8dbd-4e14-9025-696088736aee,2018-04-03,3,1035.48,151,3,3,5,335,11,Loyal Customers
017818fb-560d-4b4e-b535-e7481fcbfcde,2017-10-21,1,472.26,315,1,1,3,113,5,Hibernating
0178a8eb-8b72-4774-87be-63660fa26425,2018-03-19,2,310.85,166,3,2,3,323,8,Potential Loyalists
017a7cb9-77bf-4dbc-8897-0d264a296104,2017-08-01,1,246.36,396,1,1,2,112,4,Hibernating
01844598-c6c2-49c4-a0b8-3eef9def0333,2018-08-22,5,1270.44,10,5,5,5,555,15,Champions
0194775c-2ad8-45e1-ba5d-57e5405cff1d,2018-04-25,4,398.58000000000004,129,3,4,3,343,10,Loyal Customers
0194df14-eaeb-4ff3-8cc5-68bd998b3fe9,2018-08-17,5,1066.48,15,5,5,5,555,15,Champions
0195e274-2e25-4a93-ae15-82af87375b5c,2018-03-10,4,1578.37,175,3,4,5,345,12,Loyal Customers
01976c99-30ab-48a7-a11e-137208972e08,2018-05-10,4,421.25,114,4,4,3,443,11,Champions
01a3cbde-bd4c-498c-afde-5306fb52b42d,2017-10-26,2,329.68,310,1,2,3,123,6,At Risk
01b0881b-acd3-417c-bf33-239db620a8f4,2018-02-28,3,821.3399999999999,185,3,3,4,334,10,Loyal Customers
01b30e15-27f1-4d90-b02e-2d4c63fba5f7,2017-02-13,1,123.79,565,1,1,1,111,3,Hibernating
01c0a73b-a83e-468d-9bde-2e9508b0635d,2018-06-28,5,600.35,65,4,5,4,454,13,Champions
01c372b5-9996-43c3-825f-9d5c7d8c407d,2018-04-26,6,610.97,128,3,5,4,354,12,Loyal Customers
01c46f38-71d8-42be-be35-2c32d8cdeaf0,2017-04-08,1,113.92,511,1,1,1,111,3,Hibernating
01c5f1fc-c11b-44b0-bd8f-d21957052b8e,2018-08-19,10,1723.92,13,5,5,5,555,15,Champions
01d015b8-f427-4473-a33e-4215156d688f,2018-08-27,9,2284.8,5,5,5,5,555,15,Champions
01d94a4f-d8a6-486e-ab9f-14c2cede6a6d,2018-01-03,3,372.3,241,2,3,3,233,8,Loyal Customers
01da69b1-778e-4a85-9b4f-91077de909df,2017-12-23,3,647.29,252,2,3,4,234,9,Loyal Customers
01de775b-3eab-4e61-8eb3-3abefdbad336,2017-10-26,1,206.64,310,1,1,2,112,4,Hibernating
01e295ea-d84b-4d4b-885e-a774f07125a4,2018-08-27,1,39.02,5,5,1,1,511,7,Potential Loyalists
01e3fc26-4088-4b7a-8bc2-fbe573ea49a8,2017-06-11,1,330.86,447,1,1,3,113,5,Hibernating
